Event, ele_E, ele_Px, ele_Py, ele_Pz,  pos_E, pos_Px, pos_Py, pos_Pz
2583, 60740.4, 22520.3, 56016.4, 6663.07, 53227.5, -248, -27337.5, 45670.2
2584, 61745.6, -9921.94, -51967, 31835.5, 76399.8, -9886.99, 30921.8, 69159.4
2585, 43524, -37006.9, -910.217, 22891, 104301, 36351.7, 1428.47, 97750.3
2586, 86895.1, 28456.9, 6624.1, 81835.7, 33143.7, -32741.6, 3605.59, -3673.25
2587, 127252, -52824.6, 3891.14, 115704, 30795.8, 26159.1, 10879.2, 12071.5
2588, 136211, 14517.7, 41044.2, 129066, 35767.7, -12718.5, -28923.9, 16762.3
2589, 165125, -19794.6, -35230.3, 160104, 85095.9, 25144.3, 38459.5, 71623.7
2590, 47415.1, -40451, 10129.5, 22567.6, 46256.1, 42273, -18026.8, -5258.11
2591, 50037.1, 24529.6, -29294.8, 32308.3, 154392, -26007.6, 27219.7, 149732
2592, 47113.5, -16689.9, -28763.5, 33373.5, 141161, 19733.6, 54025, 128912
2593, 108021, -27413.8, 11050, 103899, 33002.2, 31654.4, -8083.89, 4668.17
2594, 130131, 29701.3, -35169, -121717, 167884, -28939.9, 32511.8, -162144
2595, 32790.2, -18906.6, 26769.4, 1063.52, 56935.5, 19001.9, -32447.4, 42752.2
2596, 74159.4, 42874.3, 8505.42, -59908.8, 61038.2, -42223.8, -6575.93, -43584.1
2597, 61551.5, -5075.16, 29970.1, -53522.2, 39799.8, 15210.9, -36078.3, -7142.02
2598, 60812, 57294.4, 20369.4, -731.988, 39640.4, -31432.2, 743.467, -24141.7
2599, 202632, 29651.5, 26054.4, 198750, 57326.6, -24216.3, -24983.6, 45560.3
2600, 51885.2, -19774.7, 34065.3, 33772.7, 71681.3, 26381.6, -38997.6, 54050.1
2601, 51545.5, -33646, 13248.9, 36733.6, 73499.8, 42503.9, -22401.1, 55622.2
2602, 39287.4, -38739.7, -3176.6, 5713.66, 72635.7, 38480.8, 6667.21, 61243.1
2603, 50891.5, 28480.9, -39891, -13692.9, 47339.2, -35584, 27657, -14486.7
2604, 223991, -44873.3, 16026.6, -218864, 211716, 39815.8, -14521.7, -207430
2605, 53506.9, 17270.6, 35652.6, -35966.6, 38724.5, -14217.5, -30883.2, 18538.4
2606, 104885, -6654.76, -32194.9, -99599.5, 47630.9, 9133.25, 41705.2, -21117.8
2607, 264173, -9448.69, -43858.4, 260335, 185148, 8295.32, 44529, 179522
2608, 102391, 11002.2, -33144.1, 96251.9, 273411, 12710.7, 46714, 269091
2609, 114551, -40108.2, -14291.2, -106344, 160290, 43234.6, 13283.8, -153776
2610, 63285.8, 38054.5, -24235.4, 44380.1, 64990.9, -31624.3, 36307.8, 43651.6
2611, 64011.6, 43155, -2433.55, 47214.5, 85089.4, -46351.9, 27004.8, 66048.8
2612, 60131.6, -32889.7, 12496.7, -48763.8, 41792.8, 36746.4, -18845, -6419.35
2613, 95393.4, 40725.7, 43078.6, -74736.5, 46303.1, -32289.2, -18378.7, -27633.4
2614, 57690, -36286.7, -6079.07, 44434.8, 39953.1, 36578, 7911.82, -13989.3
2615, 53076, -47216.8, -6903.19, -23237.7, 57526.1, 41879.4, 9863.26, -38184.9
2616, 123324, -9602.02, 37903.6, -116961, 211640, -18287.7, -57908, -202740
2617, 75080.8, 29708.5, 23629, 64778.1, 265909, -46558.3, -15383.6, 261349
2618, 44596.2, -8064.69, 43646.3, -4334, 45860.2, 3828.68, -45225.4, -6570.08
2619, 38952.2, 34463.6, 14038, 11509.4, 99183.3, -29584.5, -9530.97, 94187.2
2620, 36685.5, 25258.3, 17767.4, 19803.2, 62760.6, -24586, -5673.19, -57465
2621, 108482, -33654.8, -20518.9, -101067, 36137.5, 29421.4, 19124, -8635.53
2622, 66379.8, -7876.32, 63702, -16920.1, 42946.9, 19653.1, -20624.7, 32137.5
2623, 54222.4, -44494.1, -25679.4, 17346.8, 58620.2, 31674.5, 39706.3, -29265.3
2624, 191517, -25352.7, 30657.7, -187340, 34803.9, 17285.5, -22733.3, -19892.8
2625, 40619.6, -34834.3, 17347.1, 11644.6, 76625.4, 13084.3, -45506.2, 60244.8
2626, 124484, 43807.9, 6020.52, -116365, 61761.5, -38160.4, -10062.4, -47508
2627, 48191, 26700.7, 26837.6, 29819.2, 47243.8, -3461.76, -37738.5, -28209.9
2628, 37488, -26063.5, 23124.3, 13831.4, 72958.7, 29682.5, -2745.77, -66591.1
2629, 63722.6, 10092.3, 48330.7, -40284.8, 52422.6, -14125.6, -39350.3, -31625.2
2630, 40990.9, -39056.8, 9007.68, -8583.62, 70974.6, 16997.8, -52114.6, 45083.7
2631, 76644.6, 45036.5, -12270.2, -60791, 85323.6, -51762.3, 7898.93, -67367.6
2632, 69288.9, 28608.3, 18523.5, 60327.4, 34635.8, -32057.7, -10319.7, -8090.07
2633, 36809, -24249.4, 12028.7, -24943.5, 52305.8, 31645.1, -6908.73, 41070.1
2634, 187877, 19582.6, -37453.3, 183061, 108651, -21284.3, 37964.2, 99552.5
2635, 57078.1, -41263.4, -9743.41, 38214, 47951.1, 46468.5, -8982.2, 7701.11
2636, 256996, -67369.5, 55378.5, -241747, 47983.8, -37359.9, -16408.7, -25247.4
2637, 168044, 8869.91, 45726.2, 161460, 208299, -9328.85, -44665, 203240
2638, 240604, -43378.4, -30720.5, -234659, 216311, 45608.9, -7203.76, -211325
2639, 29309.6, -29199.3, 1485.04, 2061.23, 78045.5, 40303.2, -26075.1, -61537.4
2640, 160026, 20669.1, 48068, -151231, 70618.2, -31995.7, -20814.7, -59413.4
2641, 173830, 34734.7, -4213.23, -170272, 78948.2, -43269.2, 9570.35, -65337.7
2642, 41789.5, 30257.9, 5021.19, 28383.3, 142423, -61660.7, 40967.6, 121672
2643, 86534.7, 40012.4, 25233.3, 72460.6, 45956.6, -34849.8, -13447, 26770.8
2644, 49305.8, 40199.1, 3840.42, 28290.5, 40210.1, -34711.2, -3162.2, -20049.6
